text_id,entity_text,entity_label,start_char,end_char
1,IPCC,ORG,4,8
1,Sixth Assessment Report,REPORT,22,45
1,March 2023,DATE,49,59
1,1.5 degrees,THRESHOLD,107,118
1,2030,DATE,158,162
1,Antonio Guterres,PERSON,283,299
1,COP,ORG,428,431
2,COP28,CLIMATE_EVENT,3,8
2,Dubai,GPE,12,17
2,190,CARDINAL,24,27
2,The United Arab Emirates,GPE,99,123
2,two weeks,DATE,159,168
2,2030,DATE,271,275
3,The World Bank,ORG,0,14
3,$12.5 billion,MONEY,27,40
3,June 2024,DATE,68,77
3,Sub-Saharan Africa,ORG,111,129
3,South Asia,LOC,134,144
3,World Bank,ORG,276,286
3,Ajay Banga,PERSON,297,307
4,Jordan,GPE,0,6
4,National Climate Change Policy,ORG,9,39
4,2022,DATE,52,56
4,31%,PERCENT,118,121
4,2030,DATE,125,129
4,The Ministry of Environment,ORG,266,293
4,UNDP,ORG,339,343
4,the European Union,ORG,348,366
5,UNFCCC,ORG,0,6
5,Simon Stiell,PERSON,27,39
5,the Bonn Climate Change Conference,ORG,63,97
5,June 2024,DATE,101,110
5,Paris Agreement,AGREEMENT,191,206
5,NDCs,POLICY,269,273
5,February 2025,DATE,281,294
6,The European Union's,ORG,0,20
6,Carbon Border Adjustment Mechanism,ORG,21,55
6,October 2023,DATE,90,102
6,EU,ORG,275,277
6,January 2026,DATE,409,421
7,September 2023,DATE,3,17
7,the United Nations General Assembly,ORG,19,54
7,the Climate Ambition Summit,ORG,62,89
7,New York,GPE,93,101
7,Paris Agreement,AGREEMENT,362,377
8,FAO,ORG,0,3
8,State of Food and Agriculture 2023,ORG,18,52
8,735 million,CARDINAL,173,184
8,2022,DATE,216,220
8,FAO,ORG,296,299
8,Qu Dongyu,PERSON,317,326
8,$4 billion,MONEY,338,348
8,annual,DATE,352,358
9,The Green Climate Fund,ORG,0,22
9,$1.2 billion,MONEY,32,44
9,October 2023,DATE,79,91
9,Songdo,GPE,109,115
9,South Korea,GPE,117,128
9,$150 million,MONEY,158,170
9,Bangladesh,GPE,201,211
9,$90 million,MONEY,215,226
9,the Congo Basin,LOC,255,270
9,$45 million,MONEY,278,289
9,Jordan,GPE,316,322
9,$12 billion,MONEY,356,367
10,China,GPE,0,5
10,Change Xie Zhenhua,PERSON,34,52
10,US,GPE,62,64
10,John Kerry,PERSON,79,89
10,Sunnylands,GPE,93,103
10,California,GPE,105,115
10,November 2023,DATE,119,132
10,Paris Agreement,AGREEMENT,225,240
10,COP28,CLIMATE_EVENT,395,400
11,NASA,ORG,15,19
11,Goddard Institute for Space Studies,ORG,22,57
11,2023,DATE,73,77
11,the warmest year,DATE,82,98
11,1.48 degrees,THRESHOLD,143,155
11,1850-1900,DATE,174,183
11,El Nino,GPE,198,205
11,mid-2023,DATE,232,240
11,Southern Europe,LOC,311,326
11,North Africa,GPE,328,340
11,the Middle East,LOC,346,361
11,July 2023,DATE,363,372
11,the hottest month,DATE,377,394
12,Science,GPE,21,28
12,January 2024,DATE,32,44
12,the Greenland Ice Sheet,ORG,56,79
12,approximately 270 billion tonnes,QUANTITY,85,117
12,between 2006 and 2022,DATE,134,155
12,GRACE,ORG,213,218
12,GRACE-FO,ORG,223,231
12,approximately 0.7 millimeters,QUANTITY,286,315
12,2010,DATE,390,394
13,Arctic,LOC,4,10
13,sixth,ORDINAL,38,43
13,September 2023,DATE,70,84
13,the National Snow and Ice Data Center,ORG,99,136
13,Boulder,GPE,140,147
13,Colorado,GPE,149,157
13,15,CARDINAL,184,186
13,Arctic sea,LOC,194,204
13,the last 15 years,DATE,238,255
14,the Great Barrier Reef Foundation,FAC,21,54
14,fourth,ORDINAL,70,76
14,seven years,DATE,107,118
14,March 2024,DATE,126,136
14,2 degrees,THRESHOLD,166,175
14,14 consecutive days,DATE,215,234
14,75%,PERCENT,259,262
14,"over 1,500",CARDINAL,320,330
14,400,CARDINAL,348,351
15,the Max Planck Institute for Meteorology,ORG,12,52
15,Nature Geoscience,WORK_OF_ART,75,92
15,the Atlantic Meridional Overturning Circulation,ORG,106,153
15,approximately 15%,PERCENT,170,187
15,1950,DATE,194,198
15,AMOC,ORG,204,208
15,the North Atlantic,LOC,251,269
15,Northern Europe,LOC,326,341
15,US,GPE,412,414
15,East Coast,LOC,415,425
16,Atmospheric CO2,PERSON,0,15
16,the Mauna Loa Observatory,FAC,34,59
16,Hawaii,GPE,63,69
16,424.0,CARDINAL,78,83
16,May 2024,DATE,105,113
16,NOAA,ORG,128,132
16,2.8,CARDINAL,152,155
16,the previous year,DATE,174,191
16,1958,DATE,260,264
16,approximately 50%,PERCENT,295,312
16,280,CARDINAL,353,356
17,the University of Leeds,ORG,17,40
17,227 billion tonnes,QUANTITY,99,117
17,2000-2009,DATE,134,143
17,298 billion tonnes,QUANTITY,154,172
17,2010-2019,DATE,185,194
17,Geophysical Research Letters,ORG,220,248
17,"217,175",CARDINAL,259,266
17,Himalayan,NORP,301,310
17,the early 2000s,DATE,366,381
17,1.9 billion,CARDINAL,414,425
18,The World Meteorological Organization,ORG,0,37
18,4.5 millimeters,QUANTITY,82,97
18,2023,DATE,101,105
18,annual,DATE,119,125
18,1993,DATE,168,172
18,approximately 40%,PERCENT,221,238
18,WMO,ORG,317,320
18,Celeste Saulo,PERSON,339,352
18,decades,DATE,417,424
19,the National Academy of Sciences,ORG,30,62
19,Siberia,LOC,93,100
19,Alaska,GPE,105,111
19,approximately 600 million tonnes,QUANTITY,121,153
19,CO2,PRODUCT,157,160
19,2022,DATE,175,179
19,80,CARDINAL,252,254
19,20-year,DATE,300,307
19,"roughly 1,500 billion tonnes",QUANTITY,374,402
20,the Potsdam Institute for Climate Impact Research,ORG,14,63
20,1.5 degree,QUANTITY,127,137
20,five,CARDINAL,175,179
20,the Greenland Ice Sheet,ORG,213,236
20,the West Antarctic Ice Sheet,LOC,238,266
20,the Atlantic Meridional Overturning Circulation,ORG,317,364
20,Science,GPE,393,400
20,September 2023,DATE,404,418
21,The European Space Agency's,ORG,0,27
21,Copernicus Climate Change Service,ORG,28,61
21,September 2023,DATE,76,90
21,1.75 degrees,THRESHOLD,95,107
21,0.5 degrees,THRESHOLD,190,201
21,El Nino,GPE,246,253
21,Saharan,GPE,263,270
21,Antarctic sea,LOC,301,314
21,Copernicus,ORG,327,337
21,Carlo Buontempo,PERSON,347,362
22,30%,PERCENT,37,40
22,1800,DATE,47,51
22,CO2,PRODUCT,85,88
22,Annual Review of Marine Science,ORG,125,156
22,8.1,CARDINAL,182,185
22,8.2,CARDINAL,250,253
22,the Southern Ocean,LOC,302,320
22,Arctic,LOC,325,331
23,The Dead Sea,LOC,0,12
23,approximately one-third,CARDINAL,22,45
23,1960,DATE,72,76
23,more than 1 meter,QUANTITY,108,125
23,the Jordan River,LOC,172,188
